,serial_number,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_tests_permillion,total_pop
110,103,Luxembourg,"319,959",,"1,232",,"316,690",,"2,037",,"498,091","1,918","4,587,145","7,140,959"
111,104,Brunei,"310,522",,225,,"243,601",,"66,696",3,"697,127",505,"717,784","1,611,437"
174,167,Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280"
175,168,Saint Lucia,"30,122",,409,,"29,095",,618,,"162,722","2,209","210,983","1,139,752"
225,218,Anguilla,"3,904",,12,,"3,879",,13,4,"256,336",788,"51,382","3,373,736"
226,219,Wallis and Futuna,"3,550",,8,,438,,"3,104",,"323,256",728,"20,508","1,867,419"
46,39,Romania,"3,455,207",,"68,341",,"3,360,779",,"26,087",74,"181,554","3,591","28,000,157","1,471,266"
227,220,Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488"
47,40,Denmark,"3,183,756",,"8,814",,"3,174,942",,0,4,"545,636","1,511","129,333,107","22,165,247"
112,105,Montenegro,"293,219",,"2,829",,"289,667",,723,6,"466,946","4,505","2,764,972","4,403,172"
235,228,Vatican City,29,,,,29,,0,,"36,295",,,
176,169,Benin,"28,014",,163,,"27,847",,4,,"2,191",13,"604,310","47,268"
113,106,Algeria,"271,853",,"6,881",,"183,061",,"81,911",,"5,995",152,"230,960","5,093"
177,170,Somalia,"27,334",,"1,361",,"13,182",,"12,791",,"1,623",81,"400,466","23,778"
114,107,Nigeria,"266,675",,"3,155",,"259,953",,"3,567",11,"1,230",15,"5,708,974","26,339"
115,108,Zimbabwe,"265,748",,"5,718",,"258,888",,"1,142",12,"17,334",373,"2,525,756","164,744"
178,171,Micronesia,"26,547",,65,,N/A,N/A,N/A,1,"225,953",553,"82,430","701,598"
15,8,Italy,"26,082,645",,"191,715",,"25,736,785",,"154,145",48,"432,815","3,181","275,228,417","4,567,139"
116,109,Uzbekistan,"253,662",,"1,637",,"241,486",,"10,539",23,"7,378",48,"1,377,915","40,077"
2,,Europe,"250,272,209","+17,700","2,073,882",+31,"246,226,596","+16,494","1,971,731","5,529",,,,
179,172,Congo,"25,375",,386,,"24,006",,983,,"4,377",67,"347,815","59,991"
16,9,UK,"24,704,113",,"229,089",,"24,475,024","+1,068",0,N/A,"360,655","3,344","522,526,476","7,628,357"
180,173,San Marino,"24,608",,126,,"24,411",,71,4,"721,960","3,697","196,855","5,775,414"
181,174,Solomon Islands,"24,575",,153,,N/A,N/A,N/A,1,"34,077",212,,
117,110,Mozambique,"233,417",,"2,243",,"228,805",,"2,369",11,"7,054",68,"1,371,127","41,437"
118,111,Martinique,"230,354",,"1,102",,N/A,N/A,N/A,12,"615,777","2,946","828,928","2,215,870"
182,175,Timor-Leste,"23,460",,138,,"23,102",,220,,"17,131",101,"278,529","203,391"
17,10,Russia,"23,045,833","+16,429","400,077",+30,"22,482,148","+13,513","163,608",N/A,"158,058","2,744","273,400,000","1,875,095"
119,112,Afghanistan,"226,220",,"7,950",,"206,760",,"11,510",,"5,551",195,"1,309,572","32,133"
1,,Asia,"220,778,208",+29,"1,549,824",,"204,574,023",+16,"14,654,361","15,145",,,,
183,176,Burkina Faso,"22,056",,396,,"21,596",,64,,998,18,"248,995","11,265"
120,113,Laos,"218,871",+1,758,,N/A,N/A,N/A,,"29,257",101,"1,233,207","164,845"
184,177,Liechtenstein,"21,486",,94,,"21,352",,40,,"559,721","2,449","112,457","2,929,559"
121,114,Iceland,"209,191",,229,,N/A,N/A,N/A,2,"605,661",663,"1,996,384","5,780,036"
122,115,Kyrgyzstan,"206,897",,"2,991",,"196,406",,"7,500",131,"30,750",445,"1,907,195","283,460"
123,116,Guadeloupe,"203,235",,"1,021",,N/A,N/A,N/A,19,"508,349","2,554","938,039","2,346,306"
124,117,El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467"
185,178,Gibraltar,"20,550",,113,,"16,579",,"3,858",,"609,720","3,353","534,283","15,852,213"
